datastream,value,timestamp_utc,datastream_id
Air Temp 2 m Avg,4.63,2025-10-17T20:10:00Z,5f6cfdf508584f4cc8b3f83a
Air Temp 2 m Max,5.185,2025-10-17T20:10:00Z,5f6cfcff08584f8183b3f835
Air Temp 2 m Min,3.985,2025-10-17T20:10:00Z,5f6cfd9a08584f5ea9b3f837
Air Temp Avg,3.402,2025-10-17T20:10:00Z,5ae8795cfe27f4c5ab102c09
Air Temp Max,3.764,2025-10-17T20:10:00Z,5ae8795cfe27f42c8e102c0a
Air Temp Min,2.918,2025-10-17T20:10:00Z,5ae8795cfe27f4ba95102c0b
Barometric Pressure Avg,501.6223,2025-10-17T20:10:00Z,5ae87983fe27f4481a102cb4
Battery Voltage Avg,13.87,2025-10-17T20:10:00Z,5ae87993fe27f46321102cff
Battery Voltage Max,13.91,2025-10-17T20:10:00Z,5ae87993fe27f477dd102d00
Battery Voltage Min,13.81,2025-10-17T20:10:00Z,5ae87993fe27f4d359102d01
Date Year,2020,2020-07-14T10:20:00Z,5ae87ab2fe27f412e91031e6
Dattalogger Signature,2360,2020-07-14T10:20:00Z,5ae8799cfe27f4494c102d27
Logger Panel Temp Avg,7.531,2025-10-17T20:10:00Z,5ae8799cfe27f45395102d23
Photosynthetically Active Radiation Avg,1536,2025-10-17T20:10:00Z,5f6bd63308584ff83eb3f828
Photosynthetically Active Radiation Max,1542,2025-10-17T20:10:00Z,5f6bd72008584f4552b3f82a
Photosynthetically Active Radiation Min,1530,2025-10-17T20:10:00Z,5f6bd7af08584f2734b3f82d
Rainfall,0,2025-10-17T20:10:00Z,5ae879bdfe27f434f0102dc2
Rainfall Cumulative,13.97,2025-10-17T20:10:00Z,5e14c7bb9451caeaf77eff07
Rainfall Cumulative (logger),0,2020-07-14T10:20:00Z,5ae879bdfe27f45e1e102dc0
Relative Humidity Avg,23.74,2025-10-17T20:10:00Z,5ae879e1fe27f4e354102e61
Relative Humidity Max,28.77,2025-10-17T20:10:00Z,5ae879e1fe27f41ff8102e62
Relative Humidity Min,20.99,2025-10-17T20:10:00Z,5ae879e1fe27f42804102e63
Snow Depth,45.44,2005-12-31T16:00:00Z,5ae879e8fe27f4646e102e7e
Snow Temp Avg,625.1,2019-01-22T08:00:00Z,5ae879e9fe27f486d9102e84
Soil Temp 100 mm Avg,0.895,2025-10-17T20:10:00Z,5f6d093f08584f89d3b3f846
Soil Temp 100 mm Max,0.921,2025-10-17T20:10:00Z,5f6d087d08584ffa6eb3f842
Soil Temp 100 mm Min,0.884,2025-10-17T20:10:00Z,5f6d08e008584f8669b3f844
Soil Temp 200 mm Avg,1.453,2025-10-17T20:10:00Z,5f6d0c3608584fa2fcb3f84c
Soil Temp 200 mm Max,1.473,2025-10-17T20:10:00Z,5f6d0b3f08584f2656b3f848
Soil Temp 200 mm Min,1.44,2025-10-17T20:10:00Z,5f6d0bb908584f4b03b3f84a
Soil Temp 50 mm Avg,0.466,2025-10-17T20:10:00Z,5f6d07d408584fbbfab3f840
Soil Temp 50 mm Max,0.498,2025-10-17T20:10:00Z,5f6d06b308584f18f3b3f83c
Soil Temp 50 mm Min,0.453,2025-10-17T20:10:00Z,5f6d073508584fa0fcb3f83e
Soil Temp 500 mm Avg,2.498,2025-10-17T20:10:00Z,5f6d0d9608584f283bb3f853
Soil Temp 500 mm Max,2.52,2025-10-17T20:10:00Z,5f6d0cc008584fc0e7b3f84f
Soil Temp 500 mm Min,2.485,2025-10-17T20:10:00Z,5f6d0d2208584f7624b3f851
TDR freq 1,3.607,2020-07-14T10:20:00Z,5ae87a5bfe27f45d18103069
Total Solar Radiation Avg,739,2025-10-17T20:10:00Z,5ae87a6dfe27f4004c1030b4
Total Solar Radiation Max,741,2025-10-17T20:10:00Z,5f6bd26508584f2f00b3f822
Total Solar Radiation Min,736,2025-10-17T20:10:00Z,5f6bd2ea08584f3b3ab3f824
Total Solar Radiation Std,1,2025-10-17T20:10:00Z,5f6bd35f08584fbfbcb3f826
Volumetric Water Content Horizontal Avg,0.116,2025-10-17T20:10:00Z,5f6d129408584f6080b3f855
Volumetric Water Content Period Horizontal Avg,21.24,2025-10-17T20:10:00Z,5f6d145508584f57d0b3f85a
Volumetric Water Content Period Vertical Avg,23.24,2025-10-17T20:10:00Z,5f6d14c208584fbdd9b3f85c
Volumetric Water Content Vertical Avg,0.165,2025-10-17T20:10:00Z,5f6d131d08584fb143b3f857
Wind Direction Avg,5.887,2025-10-17T20:10:00Z,5ae87a80fe27f46e0a10310e
Wind Direction Std,28.9,2025-10-17T20:10:00Z,5ae87a80fe27f4bb1110310f
Wind Speed Avg,1.254,2025-10-17T20:10:00Z,5ae87aa9fe27f4ad621031bf
Wind Speed Max,2.443,2025-10-17T20:10:00Z,5ae87a87fe27f4b864103130
Wind Speed Min,0.389,2025-10-17T20:10:00Z,5f6bd92a08584fa95cb3f830
Wind Speed Std,0.46,2025-10-17T20:10:00Z,5f6bd9a708584f3c3bb3f833
Wind Speed Vector Magnitude,5.887,2025-10-17T20:10:00Z,5ae87ab0fe27f414931031df
